Document,Nombre de mots,Nombre de caractères,Nombre de phrases,Richesse lexicale
data/output/A5/IFRESI_032.txt,51084,675079,5483,0.14732597290736826
data/output/A5/IFRESI_033.txt,17957,235074,2082,0.2384028512557777
data/output/A5/IFRESI_034.txt,4545,62599,477,0.368976897689769
data/output/A5/IFRESI_029.txt,10413,144546,1036,0.2878133102852204
data/output/A5/IFRESI_030.txt,9685,132280,1314,0.2775425916365514
data/output/A5/IFRESI_031.txt,24201,331217,2565,0.2221395810090492
data/output/A6/IFRESI_036.txt,86623,1099086,11441,0.1151195409995036
data/output/A6/IFRESI_037.txt,54941,709399,6795,0.14047796727398482
data/output/A6/IFRESI_035.txt,930,13034,133,0.42473118279569894
data/output/A6/IFRESI_038.txt,73806,948394,8814,0.12177871717746525
data/output/A8/IFRESI_040.txt,78059,1050677,10197,0.12904341587773352
